country,region,happiness_rank,happiness_score,standard_error,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity,dystopia_residual,year,whisker_low,whisker_high,continent
Netherlands,,6,7.3769998550415,,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2.29480409622192,2017,7.32657386884093,7.42742584124207,Europe
Canada,,7,7.31599998474121,,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.18726444244385,2017,7.24759713411331,7.38440283536911,Americas
New Zealand,,8,7.31400012969971,,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451,2.0464563369751,2017,7.24848981752992,7.3795104418695,Oceania
Sweden,,9,7.28399991989136,,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285,2.09753799438477,2017,7.22390496239066,7.34409487739205,Europe
Australia,,10,7.28399991989136,,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438,2017,7.2113486148417,7.35665122494102,Oceania
Israel,,11,7.21299982070923,,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,2.80175733566284,2017,7.14614638492465,7.27985325649381,Asia
Costa Rica,,12,7.0789999961853,,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,2.89863920211792,2017,6.98988832607865,7.16811166629195,Americas
Austria,,13,7.00600004196167,,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061,2017,6.94133027181029,7.07066981211305,Europe
United States,,14,6.99300003051758,,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,2.2181134223938,2017,6.91134331345558,7.07465674757957,Americas
Ireland,,15,6.97700023651123,,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,1.77386903762817,2017,6.91064880549908,7.04335166752338,Europe
Germany,,16,6.95100021362305,,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,2.01576995849609,2017,6.89661885797977,7.00538156926632,Europe
Belgium,,17,6.89099979400635,,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2.12421035766602,2017,6.82617883756757,6.95582075044513,Europe
United Kingdom,,19,6.71400022506714,,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.70414352416992,2017,6.64420868903399,6.78379176110029,Europe
Chile,,20,6.65199995040894,,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,2.50958585739136,2017,6.56474934071302,6.73925056010485,Americas
Brazil,,22,6.63500022888184,,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2.76926708221436,2017,6.5445309561491,6.72546950161457,Americas
Czech Republic,,23,6.60900020599365,,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,2.45186185836792,2017,6.5341379493475,6.68386246263981,Europe
Argentina,,24,6.59899997711182,,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.61400532722473,2017,6.50791486814618,6.69008508607745,Americas
Mexico,,25,6.57800006866455,,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862,2.83715486526489,2017,6.48485122963786,6.67114890769124,Americas
Singapore,,26,6.57200002670288,,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459,1.21636199951172,2017,6.50727698430419,6.63672306910157,Asia
Uruguay,,28,6.4539999961853,,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334,2.17240953445435,2017,6.36209377467632,6.54590621769428,Americas
Guatemala,,29,6.4539999961853,,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,2.89389109611511,2017,6.34112601965666,6.56687397271395,Americas
Panama,,30,6.4520001411438,,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2.30719995498657,2017,6.34686956614256,6.55713071614504,Americas
France,,31,6.44199991226196,,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,2.00595474243164,2017,6.36823202207685,6.51576780244708,Europe
Thailand,,32,6.42399978637695,,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,2.03950834274292,2017,6.33888271704316,6.50911685571074,Asia
Taiwan,,33,6.42199993133545,,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,0.258360475301743,2.1266074180603,2017,6.34940384075046,6.49459602192044,Asia
Spain,,34,6.40299987792969,,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,1.92775774002075,2017,6.33494491055608,6.4710548453033,Europe
Colombia,,36,6.35699987411499,,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,2.61606812477112,2017,6.26197969406843,6.45202005416155,Americas
Saudi Arabia,,37,6.3439998626709,,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126,0.147616013884544,2.0654296875,2017,6.24383311331272,6.44416661202908,Asia
Trinidad and Tobago,,38,6.16800022125244,,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.0089648161083459,0.325296461582184,2.05324745178223,2017,5.95446655184031,6.38153389066458,Americas
Kuwait,,39,6.10500001907349,,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107,1.64042520523071,2017,6.01804304927588,6.1919569888711,Asia
Bahrain,,41,6.08699989318848,,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572,1.65614938735962,2017,5.99501071855426,6.17898906782269,Asia
